dodane-data,id,title,category-tree-item,user-profile-link,filters,description,pay_low,pay_high,pay_currency,pay_period,Lokalizacja,Wymiar pracy,Typ umowy
28-02-2023,67205319,Statysta/statystka,"Wszystkie ogłoszenia/Ogłoszenia Łódź/Praca Łódź/Praca: hostessy, modele, aktorzy Łódź",https://sprzedajemy.pl/oferty-uzytkownika-9649148,,"
Na zlecenie klienta, agencja E-CASTINGI szuka statystów/statystek z całej Polski do występowania w reklamach. Zgłoś się do nas, jeśli chcesz wziąć udział w ciekawych produkcjach i planach zdjęciowych.

Doświadczenie nie jest wymagane, szukamy osób, które zarówno rozpoczynają swoją karierę, jak i tych które chcą ją bardziej rozwinąć.

Wiek od 18 do 45 lat.

Wszystkie osoby zainteresowane prosimy o przesłanie swojego CV/portfolio wraz z danymi (imię i nazwisko, adres e-mail oraz numer telefonu) na adres:

am***a@e********.pl lub ko****t@e********.pl

IMPREKO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ, z siedzibą w 00-848 WARSZAWA, UL. ŻELAZNA 59 /0803  NIP: PL5213590867 prowadząca projekt E-CASTINGI
",6000,7000,zł,mies. brutto,,Pełen etat,Inna
05-12-2023,67057467,Kierowca-kurier Dhl,Wszystkie ogłoszenia/Ogłoszenia Wołomin/Praca Wołomin/Praca Transport / Spedycja / Dystrybucja Wołomin,https://sprzedajemy.pl/oferty-uzytkownika-8428505,,"
Poszukuję osobę na stanowisko kuriera w firmie DHL.

Magazyn znajduje się w Emilianowie

Praca od poniedziałku do piątku.

Wymagania:

-Zaświadczenie o niekaralności 

-kultura osobista

-prawo jazdy kat.B

Mile widziane doświadczenie w prowadzeniu busa a także doświadczenie w pracy kuriera

Oferuje:

-Stały rejon 

-wynagrodzenie 40%od wyrobionej faktury

-wypłata 2 razy w miesiącu

-stałe zatrudnienie
",,,,,,Część etatu,Umowa o pracę
25-04-2023,67747489,"KIEROWCA C+E – cysterna spożywcza, kontenery lub firanka",Wszystkie ogłoszenia/Ogłoszenia Wrocław/Praca Wrocław/Praca Transport / Spedycja / Dystrybucja Wrocław,https://sprzedajemy.pl/oferty-uzytkownika-9705282,,"
Agencja zatrudnienia CE DRIVER nr certyfikatu 22464 poszukuje kandydata do bezpośredniej pracy w irlandzkiej firmie transportowej na stanowisko:


KIEROWCA C+E – cysterna spożywcza, kontenery lub firanka – Hrabstwo Waterford – Irlandia

System zjazdowy: 2 lub 3 miesiące pracy / 1 miesiąc wolnego
Rodzaj naczepy: cysterna spożywcza, kontenery morskie lub firanka
Wynagrodzenie: min. 680 – 800 € netto tygodniowo
Miejsce pracy: Hrabstwo Waterford, Irlandia


Opis stanowiska pracy:
• prowadzenie zestawu z cysterną spożywczą, kontenerami morskimi lub firanką,
• przewóz mleka, kontenerów, płodów rolnych i pasz dla zwierząt w trasach po Irlandii,

Warunki zatrudnienia:
• praca od poniedziałku do piątku lub w systemie zjazdowym - do ustalenia z pracodawcą,
• trasy dzienne i nocne, maksymalnie 3 nocki w ciągu tygodnia,
• praca z różnymi naczepami, w zależności od konkretnego sezonu,
• pełne zaplecze socjalne dostępne przy bazie firmy,
• zakwaterowanie w kabinie lub pomoc w znalezieniu mieszkania,
• legalna praca w oparciu o irlandzki kontrakt, bezpośrednio z pracodawcą,
• wszelkie formalności załatwiane z pracodawcą na miejscu - w tym CPC,
• odprowadzane składki, ubezpieczenie NNW,
• wynagrodzenie na początek zatrudnienia:
• przy pracy przez 5 dni w tygodniu i trasach dziennych: ok. 680 € netto tygodniowo,
• przy pracy przez 6 dni w tygodniu i trasach nocnych: ok. 800 € netto tygodniowo,
• zdalna pomoc naszego biura przez cały okres zatrudnienia

Wymagania:
• prawo jazdy kat. C+E z kodem 95, CPC lub karta kierowcy,
• doświadczenie w transporcie ciężarowym minimum 3-5 lat,
• komunikatywna znajomość języka angielskiego

Mile widziane:
• doświadczenie w trasach po Irlandii,
• umiejętność obsługi cysterny spożywczej


Osoby zainteresowane podjęciem pracy zapraszam do aplikowania na ofertę.  
Pytania proszę kierować pod nr telefonu: 784 310 200 lub na adres mailowy: ko****t@c*******.pl 

Zapraszam od poniedziałku do piątku w godz. 9:00 - 15:00
Więcej ofert na stronie www.************************
",4000,8000,zł,mies. brutto,Wrocław,Pełen etat,Umowa o pracę
11-05-2023,64013848,"Operator maszyn CNC, Frezer CNC lub Operator krawędziarki",Wszystkie ogłoszenia/Ogłoszenia Racibórz/Praca Racibórz/Praca Produkcja / Przemysł ciężki Racibórz,https://sprzedajemy.pl/oferty-uzytkownika-7518250,,"
Firma Euro Labora Sp.J. (o nr certyfikatu: 14601) dla swojego niemieckiego klienta poszukuje pracowników na stanowisko:

Operator maszyn CNC, Frezer CNC lub Operator krawędziarki - bez znajomości j.niemieckiego

Miejsce pracy: Niemcy – 26683 Saterland-Scharrel
Nr ref: OP-KRAW-CNC/DE/2023

Zakres obowiązków: 
- obsługa, kontrola i nadzór nad maszynami CNC – frezarki CNC, krawędziarki CNC.
- kontrola jakości wykonanych produktów, usuwanie usterek.
- wyłącznie obsługa maszyn – nie wymagane duże doświadczanie zawodowe
- obsługa Frezarek CNC - Hedelius i Bimatec , Krawędziarek/giętarek  Trumpf, Amada i Euromac
- stawka: 13,00E brutto/H + 35 E diety dziennej

Wymagania:
-doświadczenie w obsłudze maszyn CNC
-samochód na wyjazd
-mile widziana znajomość j. niemieckiego lub angielskiego 

Oferujemy:
- niemiecką umowę o pracę na czas nieokreślony, zawartą przed wyjazdem 
- ubezpieczenie oraz składki zdrowotne i emerytalne odprowadzane na terenie Niemiec 
- zakwaterowanie, pokój jednoosobowy
- opiekę polskojęzycznego koordynatora
- możliwość pracy w godzinach dodatkowych oraz godzinach nocnych płatnych od +25%
- płatny urlop w wymiarze 25 dni w roku
- dodatek urlopowy i świąteczny  (od 180 euro po przepracowaniu 6 m-cy)
- płatne dni ustawowo wolne od pracy
- premię za polecenie nowych pracowników
- odzież ochronną
- dostęp do mobilnej aplikacji  pracowniczej



Zainteresowany? Wyślij swoje aktualne CV wraz z zgodą na przetwarzanie danych osobowych na adres @ dodając w temacie numer referencyjny: OP-KRAW-CNC/DE/2023
",9000,10000,zł,mies. brutto,Racibórz,Pełen etat,Umowa o pracę
04-05-2023,67621710,Zatrudnimy pomocników budowlanych,Wszystkie ogłoszenia/Ogłoszenia Warszawa/Praca Warszawa/Praca Budownictwo / Geodezja Warszawa,https://sprzedajemy.pl/oferty-uzytkownika-9632792,,"
Dzień dobry,

Zatrudnimy pomocników budowlanych.

Praca w Warszawie, dzielnica Białołęka i Mokotów.

Więcej informacji pod numerem telefonu *** *** ***.
",,,,,Warszawa,Pełen etat,Umowa o pracę
02-05-2023,67311829,PRACOWNIK PRODUKCJI – OPERATOR WÓZKA WIDŁOWEGO (M/K),Wszystkie ogłoszenia/Ogłoszenia Lublin/Praca Lublin/Praca Produkcja / Przemysł ciężki Lublin,https://sprzedajemy.pl/oferty-uzytkownika-8124613,,"
Jako AB Job Service Polska Sp. z o.o. - jesteśmy polską agencją zatrudnienia (nr cert. 5971)  z 17-letnim doświadczeniem   z oddziałami w Kielcach, Opolu, Lublinie i Bydgoszczy, rekrutującą na rynek niderlandzki. Jesteśmy partnerem w dobieraniu kadry dla firm z branży agrarnej, budowlanej, spożywczej, zieleni (miejskiej), infrastruktury, logistyki, techniki i transportu. Dzięki naszym długotrwałym relacjom z klientami o kilkudziesięcioletniej tradycji znamy ich potrzeby związane z zatrudnieniem pracowników. Nasze korzenie przekładają się na prostotę oraz przyjazną, niewymuszoną atmosferę w kontaktach z kandydatami.

PRACOWNIK PRODUKCJI – OPERATOR WÓZKA WIDŁOWEGO (M/K)
Miejsce pracy: Vuren

W magazynie z mączką kostną poszukujemy kandydata do pracy produkcyjnej i obsługi wózka widłowego typu heftruck. Praca polega na przygotowywaniu i napełnianiu big-bag’ów oraz transportowaniu ich za pomocą wózka widłowego i przestawianiu w wyznaczone miejsce. Praca odbywa się w systemie trzyzmianowym: 06:00-15:00, 15:00-23:00, 23:00-06:00. Poszukujemy kandydatów ze znajomością języka angielskiego oraz doświadczeniem na podobnym stanowisku.

Przed wyjazdem zapewnimy Ci kompleksową obsługę – szczegółowe informacje o pracy, adres wraz z numerem do koordynatora oraz umowę skierowania do pracy. Gwarantujemy współpracę tylko ze sprawdzonymi Pracodawcami w Niderlandach.

W jaki sposób aplikować ?  
- wyślij wstępne zgłoszenie korzystając z formularza: http*************************** oddzwonimy do Ciebie ze szczegółowymi informacjami  
- posiadasz CV? świetnie! prześlij je na re*******a@a******.pl, niezwłocznie skontaktujemy się z Tobą  
- zgłoś się bezpośrednio do jednego z naszych oddziałów (dane poniżej)  
- skorzystaj z opcji CallBack na naszej stronie www.**********  i zamów połączenie na wybrany przez Ciebie termin  
 
Zyskujesz: 
– wynagrodzenie 12,54 EU brutto/h, cotygodniowo przelewane na Twoje konto  
– dodatek wakacyjny 8,33% dochodów brutto – naliczane od godz. podstawowych 
– dostęp do platformy internetowej umożliwiającej wgląd do dokumentów tj. kontraktów, odcinków wypłat, Jaaropgaafu 
– profesjonalną obsługę przed wyjazdem (m.in. komplet informacji, umowa kierująca, pomoc w organizacji transportu) 
– opiekę koordynatora w miejscu pracy 
– w pełni wyposażone zakwaterowanie zgodne z certyfikatem SNF z darmowym WiFi (99,50 EU tygodniowo) oraz ubezpieczenie zdrowotne (34,78 EU tygodniowo) 
– zapewniony codzienny dojazd do miejsca pracy  
 
 
Dbamy o Twój komfort. Zapewniamy pełną rekrutację w systemie online! 
Zgłoś się do nas: http*************************** a my oddzwonimy.  
 
Zapraszamy do kontaktu ze swoim oddziałem w dniach: 
poniedziałek- piątek w godzinach 9.00-17.00 
re*******a@a******.pl  

Opole 
T: 605 148 444 
T: 577 185 333 
 
Kielce 
T: 667 713 111 
T: 575 569 444 
 
Bydgoszcz 
T:603 562 143 
T: 603 567 915  

Lublin 
T: 697 831 697 
T: 603 402 363 
T: 721 937 222 
 
Polubiłeś już naszą stronę na facebooku?: http************************************ 
Chcesz aplikować na naszą ofertę pracy? W linku poniżej znajdziesz wszystkie informacje na temat tego, kto i w jakim celu będzie przetwarzać Twoje dane osobowe. 
 
Informacje o przetwarzaniu Twoich danych osobowych 
http***************************************** 
 
Certyfikat MGiP nr 5971 
Oferta Pracy Tymczasowej 
www.**********
",,,,,Lublin,Sezonowa,Umowa o pracę
16-03-2023,67552972,Praca przy inwentaryzacji za granicą/dojazd i zakwaterowanie,Wszystkie ogłoszenia/Ogłoszenia Rudy/Praca Rudy/Praca Wykładanie towaru / Inwentaryzacja Rudy,https://sprzedajemy.pl/oferty-uzytkownika-8881429,,"
Obecnie prowadzę rekrutację osób zainteresowanych pracą przy inwentaryzacjach zagranicznych z firmą INVENT.

-Praca jest bardzo prosta, polega na liczeniu za pomocą skanera, towaru znajdującego się

na terenie sklepów lub magazynów.

-Firma zapewnia dojazd i zakwaterowanie.

-Wyżywienie we własnym zakresie.

-Dniówki to 245 zł wzwyż (w zależności od znajomości języka, lub posiadania prawa jazdy).

-Język nie jest jest wymagany!

-możliwość awansu i podwyżki.

-umowa-zlecenie

Zainteresowanych zapraszam do kontaktu:
an*****9@w*.pl
",245,295,zł,mies. brutto,Rudy,Inna,Umowa zlecenie
19-05-2023,67856054,Sprzątanie terenu zewnętrznego -Puławska Ursynów,Wszystkie ogłoszenia/Ogłoszenia Warszawa/Praca Warszawa/Praca fizyczna Warszawa,https://sprzedajemy.pl/oferty-uzytkownika-9683714,,"
Firma sprzątająca Amlux zatrudni pracowników do sprzątania terenu zewnętrznego.
Lokalizacja: Warszawa, ul.Puławska.

Mamy do zaoferowania pracę zmianową: 
od poniedziałku do piątku w godz. 6:00-14:00, 14:00-22:00.

wynagrodzenie z tytułu umowy o pracę: 3490 brutto,

pracę stałą.

Obowiązki:

sprzątanie terenu zewnętrznego.

Oczekiwania:

brak przeciwwskazań do pracy fizycznej,

dyspozycyjność do pracy,

chęci do pracy.

Zapraszamy do kontaktu telefonicznego z Działem Rekrutacji pod nr tel. 604*126*388 lub 22 336-65-28, 22 336-65-29.

Jesteśmy zakładem pracy chronionej- chętnie zatrudniamy osoby niepełnosprawne- realizujemy wszystkie świadczenia należne osobom z orzeczeniem.

W aplikacji proszę o zamieszczenie poniższej klauzuli:

Wyrażam zgodę na przetwarzanie moich danych osobowych zawartych w dokumentach aplikacyjnych przez AMLUX Sp. z o. o. z siedzibą w Warszawie ul. Grójecka 77 w celu przeprowadzenie kolejnych procesów rekrutacyjnych na inne stanowiska pracy w spółce AMLUX Sp. z o. o.,

a także następującego oświadczenia dotyczącego ochrony danych osobowych o treści: Oświadczenie dotyczące ochrony danych osobowych Oświadczam, iż zostałem poinformowany o tym że: 1) administratorem danych osobowych przetwarzanych w ramach procesu rekrutacji jest AMLUX Sp. z o. o. , ul. Grójecka 77, 02-094 Warszawa, 2) kontakt z inspektorem ochrony danych jest możliwy pod adresem: AMLUX Sp. z o. o. ,, ul. Grójecka 77, 02-094 Warszawa, 3) dane osobowe kandydatów będą przetwarzane w celu przeprowadzenia obecnego procesu rekrutacyjnego lub w kolejnych naborach kandydatów na pracowników AMLUX Sp. z o. o. , na podstawie wyrażonej zgody (art. 6 ust. 1 lit. a RODO). Osobie, której dane dotyczą przysługuje prawo do cofnięcia zgody w dowolnym momencie bez wpływu na zgodność z prawem przetwarzania, którego dokonano na podstawie zgody przed jej cofnięciem, 4) odbiorcą Państwa danych może być podmiot działający na zlecenie administratora danych, tj. podmiot świadczący usługi I T w zakresie serwisowania i usuwania awarii; 5) dane zgromadzone w procesach rekrutacyjnych będą przechowywane przez okres nie dłuższy niż 12 miesięcy 6) osobie, której dane dotyczą przysługuje prawo dostępu do swoich danych osobowych, żądania ich sprostowania lub usunięcia. Wniesienie żądania usunięcia danych jest równoznaczne z rezygnacją z udziału w procesie rekrutacji prowadzonym przez AMLUX Sp. z o. o. Ponadto przysługuje jej prawo do żądania ograniczenia przetwarzania w przypadkach określonych w art. 18 RODO. 7) osobie, której dane dotyczą przysługuje prawo wniesienia skargi do Prezesa Urzędu Ochrony Danych Osobowych na niezgodne z prawem przetwarzanie jej danych osobowych. 8) podanie danych zawartych w dokumentach rekrutacyjnych nie jest obowiązkowe, jednak jest warunkiem umożliwiającym ubieganie się o przyjęcie kandydata do pracy.
",,,,,Warszawa,Pełen etat,Umowa o pracę
13-04-2023,67690792,PRACOWNIK PRODUKCJI – 1 LUB 2 ZMIANY,Wszystkie ogłoszenia/Ogłoszenia Bełchatów/Praca Bełchatów/Praca Produkcja / Przemysł ciężki Bełchatów,https://sprzedajemy.pl/oferty-uzytkownika-8822421,,"
UWAGA! NASZA AGENCJA NIE POBIERA ŻADNYCH PROWIZJI LUB OPŁAT OD OSÓB POSZUKUJĄCYCH PRACY LUB PRACUJĄCYCH ZA NASZYM POŚREDNICTWEM. *

Agencja Pracy Tymczasowej Select, wiodąca firma w obszarze doradztwa personalnego, pośrednictwa pracy oraz pracy tymczasowej, należąca do Business Solutions Wojciech Karłowski (nr W rej. Agencji Zatrudnienia: 3891), dla swojego Klienta poszukuje kandydatów na stanowisko:

PRACOWNIK PRODUKCJI – 2 ZMIANY

Nr ref.: PRODUKCJA/ZM/2023
Miejsce pracy: Bełchatów
Rodzaj pracy: praca tymczasowa

Zadania na danym stanowisku:
– Praca na linii produkcyjnej.
– Obsługa maszyn produkcyjnych.

Wymagania, jakie stawiamy kandydatom:
– Dyspozycyjność i zaangażowanie.
– Sprawność fizyczna.
– Motywacja do pracy.

Osobie zatrudnionej oferujemy:
– Wynagrodzenie 3490,00zł brutto + 300 zł brutto premii za dyspozycyjność.
– Pracę od poniedziałku do piątku na 2 zmiany w godzinach: 7-15; 15-23 lub w godzinach 6-14; 14-22.
– Zatrudnienie na podstawie umowy o prace tymczasową na pełny etat.
– Bezpieczne warunki pracy.

Informujemy, że skontaktujemy się wyłącznie z wybranymi osobami oraz nie zwracamy nadesłanych aplikacji.

Po zapoznaniu się z poniższą informacją zainteresowane osoby prosimy o przesyłanie CV z podanym stanowiskiem w tytule wiadomości, na adres: ka**y@s********.pl
",,,,,Bełchatów,Pełen etat,Umowa o pracę
14-02-2023,67385908,Prowadzący cieśli i zbrojarzy / Brygadzista - Szwecja -,Wszystkie ogłoszenia/Ogłoszenia Wrocław/Praca Wrocław/Praca Budownictwo / Geodezja Wrocław,https://sprzedajemy.pl/oferty-uzytkownika-9616947,,"
Szukasz pracy? Dzwoń. PRACA SZUKA WŁAŚNIE CIEBIE!
Wyjazdy do Szwecji. Szukamy Prowadzących Cieśli i Zbrojarz/Brygadzistę do Szwecji.
Kasa na pewno się przyda ? 
Zakwaterowanie, oddelegowanie, bilet do kraju, narzędzia do pracy, samochód i szkolenia BHP opłaca szef!
Dostajesz polską umowę o pracę (oddelegowanie).
Jeżeli masz:
• Doświadczenie w pracy jako cieśla/zbrojarz,
• Nadzór nad zespołem od 4 do 10 osób,
• Czytasz rysunek techniczny,
• Zaangażowanie oraz chęć do pracy. 

Zadzwoń lub napisz – „BRYGADZISTA” - *********
KRAZ 13 471
",,,,,,Pełen etat,Umowa o pracę
17-04-2023,67229439,Monter konstrukcji stalowych- Praca od zaraz!,Wszystkie ogłoszenia/Ogłoszenia Konin/Praca Konin/Praca fizyczna Konin,https://sprzedajemy.pl/oferty-uzytkownika-9661688,,"
Wykonujemy hale namiotowe i konstrukcje stalowe. W związku z dynamicznym rozwojem naszej firmy poszykujemy mężczyzn w wieku od 20-45 lat na stanowisko montera. Zlecenia są na trenie całej Polski. Wyjazd trwa od 2-4 dni weekendy wolne. Oferujemy: pracę od zaraz, stabilne zatrudnienie, atrakcyjne wynagrodzeni, praca w miłej atmosferze. Zainteresowanych prosimy o wysyłanie Cv na podany adres e-mail: praca1odzaraz[małpa]gmail.com
",,,,,Konin,Pełen etat,Umowa o pracę
26-04-2023,66561815,DOSTAWCA ŚWIEBODZIN GLOVO 20-45zł/h Brutto,Wszystkie ogłoszenia/Ogłoszenia Świebodzin/Praca Świebodzin/Praca Transport / Spedycja / Dystrybucja Świebodzin,https://sprzedajemy.pl/oferty-uzytkownika-9058619,,"
DOSTAWCA ŚWIEBODZIN GLOVO 20-45zł/h Brutto
PTD Partner jest niezależną firmą współpracującą z Glovo.
Cenimy Twój czas, dlatego grafik jest elastyczny i dostosowany do Twoich potrzeb.
Jesteśmy we wszystkich miastach, w których działa platforma Glovo.
  
WYMAGANIA:
• Ukończone 18 lat
• Pojazd (rower, skuter, samochód)
• Smartfon z dostępem do Internetu
• Dowód osobisty lub paszport 
• Uczciwość i rzetelność
• Entuzjazm
 
OBOWIĄZKI:
• Odbieranie i dostarczanie posiłków
• Ekspresowe dostawy kurierskie
 
OFERUJEMY:
• Legalne zatrudnienie na podstawie umowy zlecenie lub umowy B2B
• Wynagrodzenia od każdego zamówienia, które obejmuje część stałą i część zmienną
• Bezpłatny pakiet szkoleniowy
• Elastyczny grafik uwzględniający Twoje preferencje
• Pełną obsługę i pomoc w trakcie wykonywania pracy
 
Cały proces rekrutacyjny odbywa się online, dzięki temu wszystkie formalności załatwisz z domu do momentu realizacji pierwszej dostawy.

Chcesz dowiedzieć się więcej???
Zgłoś się do nas już dziś!!!
Zainteresowane osoby prosimy o zarejestrowanie się na stronie ptdpartner.pl
Więcej informacji pod numerem telefonu ***-***-***

WAŻNE!!!
Zarejestruj się po linku poniżej żeby zostać dopisany bezpośrednio do naszej floty

GLOVO
http**********************************************************

Przyjemna, prosta praca i konkretne wynagrodzenie!! Aplikuj już dziś i dołącz do najbardziej zadowolonych dostawców Glovo w Świebodzinie.


Wyrażam zgodę na przetwarzanie moich danych osobowych dla potrzeb niezbędnych do realizacji procesu rekrutacji (zgodnie z ustawą z dnia 10 maja 2018 roku o ochronie danych osobowych (Dz. Ustaw z 2018, poz. 1000) oraz zgodnie z Rozporządzeniem Parlamentu Europejskiego i Rady (UE) 2016/679 z dnia 27 kwietnia 2016 r. w sprawie ochrony osób fizycznych w związku z przetwarzaniem danych osobowych i w sprawie swobodnego przepływu takich danych oraz uchylenia dyrektywy 95/46/WE (RODO).
",1000,7000,zł,mies. brutto,Świebodzin,Inna,Umowa zlecenie/Samozatrudnienie/Inna
22-02-2023,66488779,Nauczyciela / Asystenta Przedszkole,Wszystkie ogłoszenia/Ogłoszenia Kraków/Praca Kraków/Praca Edukacja / Nauka / Szkolenia Kraków,https://sprzedajemy.pl/oferty-uzytkownika-9274052,,"
Przedszkole poszukuje na stanowisko : Nauczyciela / Asystenta

TYLKO wyk. pedagogiczne , wych. przedszkolne / wczesnoszkolne,

ukończony min. licencjat, magister, studia podyplomowe.

Osoba uśmiechnięta , odpowiedzialna, z pomysłami, kreatywna

Praca miedzy 8 - 17 godz. cały / część etatu do uzgodnienia

Ruczaj - pół etatu między (9 - 15.00 )

Bronowice - cały/pół etatu między (8 - 17.00 )

Małe przedszkole, mała grupa dzieci.

Praca z pomocą drugiej pani, od września !

Prosimy o CV ze zdjęciem, podanie lokalizacji pracy.
",,,,,Kraków,Inna,Inna
24-04-2023,67429128,Operator CNC | Praca od zaraz,Wszystkie ogłoszenia/Ogłoszenia Nowa Dęba/Praca Nowa Dęba/Praca Produkcja / Przemysł ciężki Nowa Dęba,https://sprzedajemy.pl/oferty-uzytkownika-8248504,,"
Uwaga, Stalowa Wola!

Poszukujemy OPERATORÓW CNC do firmy, która od 25 lat dostarcza wyroby ze stopów aluminiowych.

Lokalizacja: ul. Kwiatkowskiego, Stalowa Wola.

Możliwość rozpoczęcia pracy OD ZARAZ!


Obowiązki na stanowisku OPERATOR CNC:

- obrabianie materiałów z wykorzystaniem maszyn,

- obsługa systemu ERP Simple i Golem,

- kontrola i bieżąca korekta wytworzonych materiałów.


Wymagania:

- doświadczenie w pracy na stanowisku operatora CNC

- umiejętność czytania rysunku technicznego,

- posługiwanie się przyrządami pomiarowymi.


Co zyskujesz, pracując z nami?

- umowę o pracę już w pierwszym miesiącu,

- wynagrodzenie 5000-6000 zł brutto/miesiąc,

- każda nadgodzina płatna 100%,

- SmartLunch - dofinansowanie do posiłków,

- zatrudnienie bezpośrednio przez firmę,

- gwarantowaną podwyżkę,

- praca w systemie ciągłym (4-brygadowym).




Aplikuj już dziś, a nasz rekruter skontaktuje się z Tobą!




Dane administratora
Informujemy, że administratorem Pana/Pani danych osobowych jest AB OVO SOLUTIONS Sp. z o.o. - agencja pracy tymczasowej i doradztwa personalnego - nr certyfikatu 29042 - z siedzibą na ul. Strzegomskiej 2-4, 54-430 Wrocław (dalej również jako „Pracodawca” lub „Administrator”). Kontakt z administratorem jest możliwy poprzez e-mail: re*******a@a*************.pl lub na podany adres siedziby, będący również adresem korespondencyjnym.

Cele i podstawy prawne przetwarzania danych
Podane przez Pana/Panią dane osobowe będą przetwarzane przez administratora w celach rekrutacyjnych, na podstawie szczególnego przepisu prawa regulującego zbieranie danych od osoby ubiegającej się o zatrudnienie w oparciu o umowę o pracę (art. 6 ust. 1 lit. c RODO* w zw. z art. 221 § 1 Kodeksu Pracy), czyli w przypadku oferowania zatrudnienia w oparciu o umowę o pracę i dostarczenia danych wyłącznie objętych tym przepisem, tj.: imię̨ (imiona) i nazwisko, data urodzenia, dane kontaktowe wskazane przez Pana/Panią oraz wykształcenie, kwalifikacje zawodowe i przebieg dotychczasowego zatrudnienia, jeżeli są one niezbędne Pracodawcy do wykonywania pracy określonego rodzaju lub na określonym stanowisku lub

Okres przechowywania danych
Pana/Pani dane osobowe będą przetwarzane przez czas trwania obecnego procesu rekrutacji, a w przypadku wyrażenia dodatkowej zgody Pana/Pani dane osobowe będą przetwarzane również na potrzeby przyszłych rekrutacji, do czasu cofnięcia zgody, nie dłużej jednak niż przez okres 2 lat. W przypadku zakończenia procesu rekrutacyjnego, gdy nie była wyrażana dodatkowa zgoda na przyszłe procesy rekrutacyjne lub cofnięcia zgody na przetwarzanie danych na potrzeby przyszłych rekrutacji, Pani/Pana dane osobowe będą przetwarzane wyłącznie w formie archiwizacji, w celach dowodowych, przez okres właściwy dla upływu przedawnienia roszczeń, który wynosić będzie maksymalnie 5 lat.

Przysługujące uprawnienia
Ma Pan/Pani prawo żądania dostępu do swoich danych osobowych, prawo ich sprostowania, usunięcia lub ograniczenia przetwarzania, a także prawo do wniesienia sprzeciwu wobec przetwarzania oraz prawo do przenoszenia danych. Może Pan/Pani cofnąć wyrażoną zgodę w dowolnym momencie. Cofnięcie zgody nie wpływa na zgodność z prawem przetwarzania, którego dokonano na podstawie wyrażonej przez Pana/Panią zgody przed jej cofnięciem. Powyższe żądania prosimy kierować na adres email podany w sekcji Dane administratora.
Przysługuje ponadto Panu/Pani prawo wniesienia skargi do organu nadzorczego.

Informujemy, że decyzje dotyczące procesu rekrutacji nie będą podejmowane w sposób zautomatyzowany.

* RODO - Rozporządzenie Parlamentu Europejskiego i Rady (UE) 2016/679 z dnia 27 kwietnia 2016 roku w sprawie ochrony osób fizycznych w związku z przetwarzaniem danych osobowych i w sprawie swobodnego przepływu takich danych oraz uchylenia dyrektywy 95/46/WE
",5000,6000,zł,mies. brutto,Nowa Dęba,Pełen etat,Umowa o pracę
