word,emotions
Beatles,0
Beduina,0
Behemota,0
Belzebub,0
Berber,0
Bergman,0
Bergson,0
Berkeley,0
Biali,0
Biała Armiativus,0
Biała Gwardia,0
Biały Rucho,0
Bieruta,0
Bliski Wschód,0
Bogram,0
Boski,0
Boy,0
Boy-Żeleński,0
Boży,0
Boży bojownik,0
Bq,0
Brok,0
Bs.F.,0
Bsyn,0
Bundesrat,0
Bundestag,0
Burodzony,0
Buszmen,0
Byron,0
Bóg Ojciec,0
Błękitny Skarabeusz,0
BŚT,0
C,0
CAD,0
CAN,0
CAN $,0
CB radio,0
CDF,0
CF,0
CFA,0
CHF,0
CIF,0
CIS,0
CIT,0
CLL,0
CLP,0
CNY,0
CO,0
COK,0
COP,0
CRC,0
CSK,0
CUC,0
CUP,0
CVE,0
CYP,0
CZK,0
Cerbera,0
Cerkiew,0
Cerkiew prawosławny,0
Cesarstwo Otton,0
Chińczyk,0
Chopinowski,0
Chrystus,0
Ci,0
Conrada,0
Cycero,0
Cyceron,0
Cygan,0
Cyganek,0
Cyganiątko,1
Cz$,0
Czarna óów,0
Czarny Jeździec,0
Czarny Piotruś,1
Czerski,1
Czerwona Gwardia,0
Czirokez,0
Czić,0
Czukś,0
Czwarty Świata,0
DA,0
DEM,0
DJ,0
DJF,0
DKK,0
DOP,0
DSL,0
DZD,0
Darwino,0
Dativus,0
Dawidowy,0
Dickensowski,0
Dobry Pasterzeka,0
Dom Boży,0
Duch Święty,0
Dumój,0
Dąbrowszczak,0
E,0
EB,0
EEK,0
EFLOPS,0
EGP,0
ERN,0
ESP,0
ETB,0
EUR,0
Ebit,0
Ebyły,0
EiB,0
Eibit,0
Eibyły,0
Einstein,0
Eldaize,0
Elizjum,1
Entuzjastki,0
Eskimosa,0
Euker,0
Eurokorpus,0
Europejski Urząd Statystyczny,0
Europoy,0
Ezop,0
E£,0
F,0
FG,0
FIM,0
FJ$,0
FJD,0
FKP,0
FLOPS,0
FPS,0
FRA,0
FRF,0
Flaunąć,0
Forex,0
Fr.,0
Fredra,0
Freudo,0
Frok,0
Fryderycjański,0
Fundusze Europejski,0
Fundusze Unijny,0
G,0
GB,0
GBP,0
GEL,0
GF,0
GFLOPS,0
GGP,0
GHS,0
GHzyt,0
GIP,0
GMD,0
GNF,0
GRD,0
GTQ,0
GUS,0
GV,0
GW,0
GYD,0
Galilejczyk,0
Gbit,0
Gbyły,0
GiB,0
Gibit,0
Gibyły,0
Gierka,0
Godzil,0
Gogolić,0
Gombrowicz,0
Gombrowiczowski,0
Gomora,0
Gomułek,0
Gothmog,0
Gpcórka,0
Grottgera,0
Gsyn,0
Gy,0
Główny Urząd Statystyczny,0
H,0
HB,0
HK$,0
HKD,0
HNL,0
HRK,0
HTG,0
HUF,0
Habsburg,0
Hegel,0
Heidegger,0
Helikon,0
Heraklit,0
Herbertyć,0
Herod,0
Hesperornis,0
Hinterland,0
Homer,0
Homerowski,0
Homerowy,0
Homerycki,0
Horaca,0
Hotentot,0
Hunwejbin,0
Huron,0
Hydra,0
Hzyt,0
IDR,0
IEP,0
ILS,0
IMP,0
INR,0
IQD,0
IRR,0
IRS,0
ISK,0
ITL,0
Ibsen,0
Iglishmêkompania,0
Indianć,0
Indonezyjczyk,0
Inii,0
Inkaso,0
Interować,0
Inuitaa,0
Inuity,0
Irok,0
Irokez,0
Istar,0
Iwaszkiewicz,0
Izba Lordów,0
Izba Par,0
J,0
JEP,0
JMD,0
JOD,0
JPY,0
Jagiellon,0
Japończyk,0
Jawajczyk,0
Jawańczyk,0
Jawumeowy,0
Jelcynowski,0
Jemeńczyk,0
Jezus,0
Jezus Chrystus,0
Jezus Nazarejczyk,0
Jezus Nazareńczyk,0
Jukagir,0
Juker,0
Jungram,0
K,0
KB,0
KBD,0
KD,0
KES,0
KGS,0
KHR,0
KM,0
KMF,0
KO,0
KPP,0
KPP-owca,0
KPW,0
KRK,0
KRW,0
KWD,0
KYD,0
KZT,0
Kafka,0
Kagonest,0
Kalwaria Zebrzydowski,0
Kanemejeriativus,0
Kanta,0
Karabin maszynowy Browning,0
Karoling,0
Kartezjusz,0
Katona,0
Kepler,0
Khuzdûlocativus,0
KiB,0
Klingon,0
Kneseta,0
Komisja Europejski,0
Konfraternia Benedyktyński,0
Kongregacja Pustelników Kamedułów Góry Koronny,0
Kongres,0
Koreańczyk,0
Korpus Europejski,0
Kościół,0
Kościół Adwentystów Dnia Siódmy,0
Kościół Chrześcijan Baptysta,0
Kościół Ewangelicko-Augsburski,0
Kościół Ewangelicko-Reformować,0
Kościół Wschód,0
Kościół anglikański,0
Kościół armeński,0
Kościół autokefaliczny,0
Kościół episkopalny,0
Kościół greckokatolicki,0
Kościół katolicki mariawita,0
Kościół katolicki obrządku ormiański,0
Kościół koptyjski,0
Kościół maronicki,0
Kościół metodystyczny,0
Kościół nestoriański,0
Kościół ormiański,0
Kościół ormiańskokatolicki,0
Kościół ortodoksyjny,0
Kościół polskokatolicki,0
Kościół prawosławny,0
Kościół prezbitariański,0
Kościół rzymski,0
Kościół rzymskokatolicki,0
Kościół starokatolicki,0
Kościół unitariański,0
Kościół wschodni,0
Kościół zachodny,0
Kościół zielonoświątkowy,0
Kościół łaciński,0
Kreml,0
Kreolocativus,0
Kretschmei,0
Kuronowie,0
Kurow,0
Kursz,0
Kuszyć,0
Kzyt,0
Kč,0
L,0
LAK,0
LAN,0
LBP,0
LE,0
LKR,0
LO,0
LRD,0
LSL,0
LTL,0
LUF,0
LVL,0
LYD,0
Landtag,0
Laudo,0
Lbyły,0
Lewant,0
Leśmiano,0
Lis z wyspy Cozjść,0
Litwak,0
Lucyfer,0
Lucyper,0
M,0
MAD,0
MB,0
MCF,0
MDK,0
MDL,0
MFLOPS,0
MGA,0
MGF,0
MHzyt,0
MIPS,0
MKD,0
MMK,0
MMO,0
MNT,0
MOPS,0
MPativus,0
MRO,0
MSW,0
MTL,0
MUR,0
MV,0
MW,0
MWK,0
MWgodzina,0
MXN,0
MYR,0
MZN,0
Ma,0
Madonna,0
Majar,0
Malezyjczyk,0
Malgać,0
Mannowy,0
Mapuchy,0
Mapucz,0
Marsjanł,0
Masać,0
Mativus,0
Maura,0
Maxim wz. 08,0
Mbit,0
Mbyły,0
MeV,0
Meduza,0
Mefista,0
Mefistofele,0
Mesjasz,0
Metys,0
Mgram,0
MiB,0
Mibit,0
Mibyły,0
Mickiewicz,0
Mikołaj,0
Ministerstwo Spraw Wewnętrzny,0
Międzynarodowy Układ Jednostek Miara,0
Mksiążę,0
Mmorze,0
Mohikanin,0
Moliera,0
Moniuszka,0
Moniuszkowski,0
Monteskiusi,0
Morfeusz,1
Mpcórka,0
Mpix,0
Mtona,0
Mulat,0
Murzyn,0
Murzynek,1
Murzyniątko,1
Mędrzec,0
Młoda Polski,0
Młodzieżowy Dom Kultura,0
MΩ,0
N,0
N$,0
NAD,0
NGN,0
NIK,0
NIO,0
NLG,0
NN,0
NOK,0
NPR,0
NRD-owski,0
NRD-owski futbol,1
NT$,0
NZ$,0
NZD,0
Najwysoki,0
Najwyższa Izba Kontrola,0
Namiestnik Chrystus,1
Namiot Spotkać,0
Nandojciec,0
Nazarejczyk,0
Nazareńczyk,0
Nazgûlocativus,0
Negrupa,0
Ni,0
Noldor,0
Norwid,0
OIOM,0
OK,1
OMR,0
ONR-owca,0
ORMO-wiece,1
OS,0
OZI,0
Oe,0
Ojciec Kościół,0
Ojciec Święty,1
Olmka,0
Opatrzność,0
Osoba Boski,0
Osyn,0
Ottonoć,0
P,0
PAB,0
PB,0
PEI,0
PEN,0
PFLOPS,0
PGK,0
PGR,0
PGR-owca,0
PHP,0
PIT,0
PKB,0
PKB per capita,0
PKN,0
PKR,0
PLN,0
PLZ,0
PML-RARA,0
PNB,0
PO-wiece,1
PPR-owca,0
PPS-owca,0
PR-owca,0
PRL-owski,1
PSL-owca,0
PTE,0
PTTK-owca,0
PTU,0
Palestyńczyk,0
Pan Jezus,0
Pantokrator,0
Papuas,0
Parasza,0
Parlament Europejski,0
Partia,1
Pascal,0
Pativus,0
Pawumeowy,0
Pawłow,0
Państwowe Gospodarstwo Rolny,0
Pbit,0
Pbyły,0
Pdzień,0
Pegaz,0
Penitencjaria Apostolski,0
PiB,0
PiS-owca,0
Pibit,0
Pibyły,0
Pierwszy Świata,0
Pigmej,0
Pigmejczyk,0
Pindar,0
Piotruś,0
Platon,0
Pola Elizejski,1
Polonia,0
Polonus,0
Polskie Linie Lotnicze LOT,0
Potwór z Loch Nessyn,0
Południeń,0
Promień Słońce,0
Prous,0
Przybytek Mojżeszowy,0
Ptona,0
Puszć,0
Północ,0
QAR,0
Quendë,0
R,0
RF,0
RMB,0
RON,0
RPG,0
RSD,0
RTS,0
RUB,0
RWF,0
Rabelais,0
Rada Minister,0
Rafael,0
Rdzień,0
Rejunioezioro,0
Rembrandt,0
Renminbi,0
Reyć,0
Rom,0
Rzeczpospolita babiński,0
Rć,0
S,0
S$,0
S.A.,0
SA,0
SAR,0
SBD,0
SCR,0
SDG,0
SEK,0
SGD,0
SHP,0
SI$,0
SIT,0
SKOT,0
SLD-owca,0
SLL,0
SLSH,0
SOK,0
SOS,0
SRD,0
SSE,0
SSP,0
STD,0
SUR,0
SYP,0
SZL,0
Saracena,1
Sarmata,0
Sauron,0
Schiller,0
Schopenhauer,0
Schuć,0
Sienkiewicz,0
Silvanest,0
Sioux,0
Siuksiążę,0
Skałkać,0
Sklawinoe,0
Sodoma,0
Sodoma i Gomora,1
Spencer,0
Spielberg,0
Stendhal,0
Storting,0
Straż Ochrony Kolej,0
Strindberenig,0
Stworzyciel,0
Stwórca,0
Sumatryjczyk,0
Sumatrzanin,0
Sundajczyk,0
Svus,0
Syjamczyk,0
Syn Boży,0
Szechina,0
Szekspirok,0
Szkocki Kościół Episkopalny,0
Szoah,1
Szopenowski,0
Sąd Boży,0
Sąd Najwysoki,0
Sługa Boży,0
T,0
TB,0
TFLOPS,0
THB,0
THzyt,0
TJS,0
TL,0
TMT,0
TND,0
TOP,0
TPE,0
TRY,0
TTB,0
TTD,0
TV,0
TV$,0
TW,1
TWD,0
TZS,0
Tajezioro,0
Tajlandczyk,0
Tassać,0
Tazzy,0
Tbit,0
Tbyły,0
TiB,0
Tibit,0
Tibyły,0
Tischnera,0
Tlocativus,0
Tolkienowy,0
Tołst,0
Troativus,0
Trok,0
Trydent,0
Trzeci Świata,0
Trójca Przenajświętszy,0
Trójca Święten,0
Ttona,0
Tudoro,0
Turan,0
Turania,0
Turas,1
Turka,0
Turniej Gwiazdkowy,0
Tuwim,0
Tyfon,0
Tęsknica,0
UAH,0
UAK,0
UGX,0
UPA,0
USD,0
UYU,0
UZS,0
Ujgur,0
Ukraińska Powstańcza Armiativus,0
Uniativus,0
Upiór Pierścieniać,0
Uruk-hai,0
Urząd Ochrony Państwo,0
V,0
VA,0
VAT,0
VEF,0
VIP,1
VISA,0
VND,0
VUV,0
Valar,0
Voltaire,0
W,0
W.C.,0
WC,0
WLAN,0
WOP,0
WWW,0
Wajdać,0
Walter Scotta,0
Wandal,0
Wbyły,0
Weltschmerz,1
Wenecja Północ,1
Wenusjanki,0
Wenusjanł,0
Wieczernik,0
Wielka Stopativus,0
Wielki Szelbyć,0
Wielki Wybuch,0
Wielkopolanin,0
Wietnamczyk,0
Wisła Kraki,0
Wisła Kraków Spółka Akcyjny,0
Wisłativus,0
Witkak,0
Wojska Ochrony Pograniczać,0
Wolter,0
Wschód,0
Wuj Samorze,0
XAF,0
XCD,0
XIII Brygada Międzynarodowa im. Jarosława Dąbrowski,0
XIX-wieczny,0
XOF,0
XX-wieczny,0
YB,0
YER,0
YFLOPS,0
YUN,0
Ybit,0
Ybyły,0
YiB,0
Yibit,0
Yibyły,0
ZAR,0
ZB,0
ZFLOPS,0
ZMK,0
ZWD,0
ZWR,0
Zachód,0
Zagłada,1
Zakon Szpitala Najświętszej Marii Panny Domu Niemieckiego w Jerozolimić,0
Zakon Szpitalny Świętego Jana Boży,0
Zambo,0
Zbawiciel,0
Zbit,0
Zbyły,0
Zeitgeist,0
Zgromadzenie Braci Albertynów Trzeciego Zakonu Regularnego Świętego Franciszka Serafickiego Posługujących Ubogi,0
ZiB,0
Zibit,0
Zibyły,0
Ziemiativus,0
Zjednoczony Kościół Metodystyczny,0
Zosia samosia,1
Zulus,0
Związek Australijski,0
Zygmuntowski,0
a,0
a cappella,0
a posteriori,0
a priori,0
aC,0
aF,0
aH,0
aV,0
aW,0
aalen,0
abA,0
abC,0
abF,0
abH,0
abV,0
abW,0
abamper,0
abandon,0
abat,0
abazja,0
abażurek,0
abchaski,0
abcug,0
abderyta,1
abecadłowy,0
abelizaur,0
abelizauroidy,0
aberracja,0
aberracja chromatyczny,0
aberracja sferyczny,0
aberracyjny,1
abfarad,0
abhenr,0
abiogeneza,0
abiogenicznia,0
abiogeniczny,0
abioseston,0
abisal,0
abisobental,0
abisobiont,0
abisynowaty,0
abisyński,0
abkulomb,0
ablacyjny,0
ablegat,0
ablutomania,0
abnegat,1
abolicja,0
abolicjonista,0
abom,0
abominacja,1
abonament,0
abonencki,0
abonować,0
aborcjonista,1
aborcjonistka,1
abordaż,0
abordażowy,0
aborterka,1
aborygen,0
aborygeński,0
abrazyjniy,0
abrazyjny,0
abroma,0
absces,0
absencja,0
absencja chorobowy,0
absmak,1
absolut,0
absolutna wielkość gwiazdowy,0
absolutnia,1
absolutność,0
absolutny,1
absolutysta,0
absolutystycznić,0
absolutystyczny,1
absolutyzm,1
absolutyzm oświecony,0
absolutyzować,0
absolutyzować się,1
absorbancja,0
absorbowalny,0
absorbować,1
absorbować się,1
absorpcja,0
absorpcja krajowy,0
absorpcyjny,0
abstrakcjonista,0
abstrakcjonistyczniąć,0
abstrakcjonistyczny,0
abstrakcyjn,1
abstrakcyjność,1
abstrakcyjny,1
abstynencja,0
abstynent,0
abstynentka,0
absurd,1
absurdalnia,1
absurdalność,1
absurdalny,1
absyda,0
absztyfikant,1
abulia,0
abuliczny,0
abwolt,0
aby,1
aby aby,1
aby-aby,1
abysal,0
abysobental,0
abć,0
abΩ,0
acetylowy,0
achajski,0
achimenes,0
achromatyczny,0
achtel,0
achterpik,0
achylia,0
acykliczność,0
acykliczny,0
acyloglicerol,0
acylowy,0
acórka,0
adadżio,0
adagio,0
adaktylia,0
adamsyt,0
adaptacja,0
adaptacyjny,0
adaptatywny,1
adar,0
adar II,0
addytywność,0
addytywny,0
adekwatniąć,1
adekwatność,1
adekwatność kapitałowy,0
adekwatny,1
adelfofagia,0
adelobasileus,0
adelofagia,0
adeninowy,0
adenowirus,0
adept,0
adherent,0
adhezyjny,0
adhokracja,0
adiabatycznie,0
adiabatyczny,0
adidas,1
adiunkt,0
adiutancki,0
adiutantura,0
adjektywny,0
admin,0
administracja,0
administracyjny,0
administracyjnć,0
administrator,0
administratorstwo,0
administratura,0
administratywista,0
admiracja,1
admiralicja,0
admiralski,0
admirał,0
admirałostwo,0
admirałowy,0
admitancja,0
adolescencja,0
adoptować,1
adoracja,1
adoracyjny,1
adorator,1
adorować,0
adrenalina,1
adrenalinka,1
adrenalinowy,1
adrenokortykotropowy,0
adres,0
adresat,0
adresat liryczny,0
adresat narracyjny,0
adriatycki,0
adsorbować,0
adsorbować się,0
adsorpcyjny,0
adultyzm,0
advocatus diabolo,0
adwekcyjny,0
adwent,0
adwentowy,0
adwentystycznić,0
adwersarz,0
adwokacina,1
adwokacja,0
adwokat,0
adwokat diabeł,0
adwokat z urząd,0
adwokatowy,0
adwokatura,0
adynamia,0
adyton,0
adżarski,0
aedicula,0
aerodrom,0
aeroenergetyka,0
aerofagia,0
aerofobia,1
aeroklub,0
aerolog,0
aeronauta,0
aeronautyczny,0
aeroport,0
aerozaur,0
aetozaur,0
aeć,0
afabularnia,0
afabularny,0
afakia,0
afalia,0
afatyczny,0
afatyk,0
afazja,0
afazja amnestyczny,0
afazja postępująca niefluentny,0
afekcja,1
afekt,1
afektacja,1
afektowany,1
afektywny,0
afelium,0
afera,1
afera koperkowy,1
afera rozporkowy,1
aferalnia,1
aferalność,1
aferalny,1
aferka,1
aferogenn,1
aferzysta,1
affenpinczer,0
afgan,0
afganistański,0
afganić,0
afgański,0
afgańskość,0
afghana,0
afiliacja,0
afiliować,0
afiliować się,0
afirmacyjny,1
afirmacyjnć,1
afirmant,0
afirmatywn,1
afirmatywny,0
afiszowanie się,1
afiszować,1
afiszowy,1
aflatoksyna,0
afonia,0
aforysta,0
aforystycznić,1
aforystyczność,0
aforystyczny,1
aforystyka,0
afro,0
afrochrześcijaństwo,0
afrodyzjak,0
afront,1
afrykanerski,0
afrykanista,0
afrykanistyka,0
afrykański,0
afrykański kot złocisty,0
afrykańskość,0
afryt,0
afta,0
agama,0
agamia,0
agamowaty,0
agapa,1
agapy,1
agatowy,0
agatówka łobodnica,0
ageizm,0
agelia,0
agema,0
agencja,0
agencja detektywistyczny,0
agencja kosmiczny,0
agencja modeling,0
agencja modelingowy,0
agencja modelka,0
agencja ochrona,0
agencja ochroniarski,0
agencja prasowy,0
agencja płatniczy,0
agencja ratingowy,0
agencja reklamowy,0
agencja rządowy,0
agencja towarzyski,0
agenda,0
agenezja,0
agenezja ciała modzelowaty,0
agenezja kości krzyżowy,0
agenezja nerki,0
agenezja ząb,0
agent,1
agent celny,0
agent gospodarczy,0
agent kontraktowy,0
agent nieruchomość,0
agent rozliczeniowy,0
agent ubezpieczeniowy,0
agentura,1
agenturalnie,1
agenturalny,1
agerazja,0
aggiornameuć,0
agio,0
agitator,1
aglomeracja,0
agnat,0
agnatka,0
agnostyczny,0
agnostyk,0
agnozja,0
agnozja czuciowy,0
agnozja słuchowy,0
agnozja twarz,0
agnozja wzrokowa jednoczesny,0
agnozja wzrokowy,0
agogika,0
agona,0
agonalny,1
agonia,1
agonistyka,0
agora,0
agorafobia,1
agrafa,0
agrafon,0
agramatyzm,0
agranulocytoza,0
agrarny,0
agrarysta,0
agraryzm,0
agregacja,0
agregacyjny,0
agregat,1
agregat ekonomiczny,0
agregat krystaliczny,0
agregat pieniężny,0
agregatownia,0
agregaty monetarny,0
agregaty pieniężny,0
agregować,0
agregować się,0
agresja,1
agresja instrumentalny,1
agresor,1
agrestowy,0
agresywn,1
agresywność,1
agresywny,1
agrobiolog,0
agrobiznes,0
agrochemik,0
agrochemikalia,0
agrometeorolog,0
agromiasteczko,0
agronom,0
agronomówka,0
agrorafineria,0
agrotechnika,0
agroturysta,0
agroturystyka,0
aguja,0
agurasezy,0
aguti oliwkowy,0
aguti złocisty,0
agutiowaty,0
agutć,0
ahimsa,1
ahinsa,1
ahistorycyzm,0
ahistoryczność,0
ahistoryczny,0
ahistorycć,1
ahistoryzm,0
aideologiczność,0
aideologiczny,0
aidi,0
aikidojciec,0
aintelektualnie,0
aintelektualny,0
airedale terrier,0
aistopod,0
aj-ajezioro,0
ajencja,0
ajent,0
ajerkoniakowy,0
ajmak,0
ajmalina,0
ajnsztajn,0
ajwar,0
akacjowy,0
akademia,0
akademia nauka,0
akademia talmudyczny,0
akademicki,1
akademickość,1
akademika,0
akadyjski,0
akalkulia,0
akantoliza,0
akantowy,0
akapit,0
akariobiont,0
akariota,0
akatolicki,0
akatyzja,0
akcept,0
akceptacja,0
akceptant,0
akceptowalnia,1
akceptowalność,1
akceptowalny,1
akcesorium,0
akcesoryczny,0
akcesoryjny,0
akcja,1
akcja aportowy,0
akcja gotówkowy,0
akcja imienny,0
akcja na okaziciel,0
akcja niemy,0
akcja uprzywilejowany,0
akcja założycielski,0
akcja zwyknąć,0
akcjonariat,0
akcjonariat pracowniczy,0
akcjonariusz,0
akcydensista,0
akcydentalnia,0
akcydentalność,0
akcydentalny,0
akcyjn,1
akcyjność,0
akcyjny,0
akcyza,0
akinezja,0
akita,0
akkadyjski,0
akmeista,0
akolita,0
akolitat,0
akonityna,0
akonto,0
akord,0
akord nonowy,0
akordeonowy,0
akr,0
akrania,0
akrazja,0
akrazjowiec,0
akredytacja,0
akredytywa,0
akrobacja,0
akrobacja lotniczy,0
akrobacja powietrzny,0
akrobatka,0
akrobatyczny,0
akrobatyka,0
akrofobia,1
akropol,0
akroteriun,0
akrybia,0
aksamitna rewolucja,0
aksamitnik,0
aksamitnik podkorowy,0
aksamitnikowaty,0
aksamitny,1
aksamąć,1
aksil,0
aksjologicznia,0
aksjomatycznie,0
aksolotl,0
akt normatywny,0
akt płciowy,0
akta,0
akta podręczny,0
aktor,1
aktorski,1
aktorzyna,1
aktualista,0
aktualizacja,1
aktualnie,0
aktualność,1
aktualny,1
aktuariusz,0
aktyniczny,0
aktyw,1
aktywa,0
aktywa obrotowy,0
aktywa trwały,0
aktywista,1
aktywizm,1
aktywizować,1
aktywizować się,1
aktywn,1
aktywność,0
aktywność wulkaniczny,0
aktywny,1
aktywować się,1
akuczi,0
akuczi rudy,0
akumba,0
akumulatornia,0
akumulować się,0
akupunkturzysta,0
akurat,1
akuratnować,1
akuratny,1
akustycznia,0
akustyczność,0
akustyczny,1
akustyka,0
akuszer,0
akwakultura,0
akwamarynowy,0
akwanauta,0
akwapark,0
akwariarz,0
akwarium,0
akwarysta,0
akwatorium,0
akwen,0
akwitć,0
akwizycja,0
akwizytorski,1
alabastron,0
alabastrowy,0
alaktaga,0
alalia,0
alaninowy,0
alariowaty,0
alarm,1
alarm ozonowy,1
alarm powodziowy,1
alarmista,1
alarmistyczniąć,1
alarmujący,1
alaskan huske,0
alaskan malamuty,0
alastor,0
alativus,0
alba,0
albatros,0
albatrosowaty,0
albański,0
albańskość,0
albertyn,0
albigens,0
albigeński,0
albinos,0
albitowy,0
albul,0
albula wysmukły,0
albulowaty,0
albuminuria,0
alchemiczny,0
alchemik,0
aldehyd mrówkowy,0
aldehydowy,0
alderiativus,0
ale,0
alegoryczność,0
alegoryczny,0
alegorycć,0
alegoryzm,0
aleja,0
aleja sztywny,1
alejka,0
aleksja,0
aleksja bez agrafia,0
aleksykalizm,0
aleksytymia,0
alergenn,1
alergenny,1
alergia,1
alergicznia,1
alergiczny,1
alergik,0
alergolog,0
alert,1
alestesowaty,0
aletyczny,0
aleucki,0
alfa i omega,1
alfabetyczna,0
alfons,1
alfonsiak,1
alga,0
algebraik,0
algebraista,0
algierski,0
algolog,0
algonk,0
aliant,0
aliant zachodny,0
aliaż,0
alienacja,1
alienacja polityczny,0
alienacja rodzicielski,0
alienista,0
alienować,1
alienować się,1
aligatorowaty,0
alim,0
alimenciarz,1
alimenta,0
alimentacja,0
alimentować,0
alimenty,0
aliteracyjny,0
alić,0
alka,0
alka olbrzymi,0
alkalicznia,0
alkaliczny,0
alkaloid,0
alkazar,0
alkenowy,0
alkidowy,0
alkierz,0
alkierzyk,0
alkilować,0
alkilowy,0
alkohol,0
alkohol metylowy,0
alkoholiczny,0
alkoholik,0
alkoholizować,1
alkoholizować się,1
alkoholowy,1
alkowa,0
alkówka,0
allegretto,0
allegro,0
allenowski,0
allochton,0
allochtoniczny,0
allofon,0
allogeniczny,0
alloter,0
alloteria,0
allozaur,0
allozauroidy,0
alma mata,1
almanachowy,0
almaria,0
almik,0
almik haitański,0
almik kubański,0
almikowaty,0
alochton,0
alochtoniczny,0
alodium,0
aloesowy,0
alofon,0
alogeniczny,0
alogicznia,1
alogiczny,1
alokacja,0
alokacja pamięć,0
alokazja,0
alokazja amazoński,0
alokazja olbrzymi,0
alonż,0
alonżka,0
alopata,0
alotropowy,0
aloza chikora,0
aloza parposz,0
aloza tęczowy,0
aloza wielkooki,0
alpagowy,0
alpaka,0
alpakowy,0
alpejski,0
alpejski gończy krótkonożny,0
alpinarium,0
alpinistyka,0
alpinizm,0
altannik,0
altaria,0
altarysta,0
altarzysta,0
alter egon,0
alterglobalista,0
alternata,0
alternatywa,1
alternatywn,1
alternatywność,1
alternatywny,1
altowy,0
altruista,1
altruistyczniąć,1
altruistyczny,1
alumn,0
alumnat,0
aluwialny,0
aluwium,0
aluwium rzeczny,0
aluzyjniy,0
aluzyjność,1
aluzyjny,1
alwar,0
alwarezaur,0
alweolarny,0
alzacki,0
amalaka,0
amalgamat,0
amant,1
amarantowy,0
amatol,0
amator,1
amator kwaśnych jabłko,1
amatorski,1
amatorskość,1
amatorstwo,1
amatorszczyzna,1
amazonka,0
ambarasować,1
ambarasować się,1
ambasada,0
ambasador,1
ambasador nadzwyczajny,0
ambasador nadzwyczajny i pełnomocny,0
ambasadorostwo,0
ambasadorowy,0
ambasadorstwo,0
amberowy,0
ambicja,1
ambicjonalnia,1
ambicjonalny,1
ambicjoner,1
ambientowy,0
ambisentencja,0
ambit,0
ambitendencja,0
ambitnia,1
ambitność,1
ambitny,1
ambitus,0
ambiwalencja,1
ambiwalentneiąć,0
ambiwalentność,1
ambiwalentny,1
ambo,0
ambona,0
ambrazura,0
ambrozja,1
ambrozyjski,1
ambulatorium,0
ambulatoryjna,0
ambystoma,0
ambystomowaty,0
ameboidalny,0
amebowy,0
ameby nagi,0
ameby oskorupiony,0
amerykanista,0
amerykanka,0
amerykański,1
amerykański curl długowłosy,0
amerykański pit bull terier,0
amerykański pitbullterier,0
amerykański pitbulterier,0
amerykański staffordshire terier,0
amerykański sumik karłowaty,0
amerykański wilk tundrowy,0
amerykańskość,0
ametystowy,0
amfetaminiarz,0
amfibijny,0
amfibrach,0
amfibrachicznia,0
amficjon,0
amfiktionia,0
amfilada,0
amfilina,0
amfimacer,0
amfimakr,0
amfiprostylos,0
amfisbaena,0
amfisben,0
amfiteatr,0
amfiteatr morenowy,0
amfiteatralnia,0
amfiteatralny,0
