dodane-data,id,title,category-tree-item,user-profile-link,filters,description,pay_low,pay_high,pay_currency,pay_period,Lokalizacja,Wymiar pracy,Typ umowy,user-profile-link-hash
Dodane Dzisiaj o 11:28,ID: 827475984,Specjalistka/Specjalista ds. Sprzedaży MediaMarkt Blue City,"Strona główna/Praca/Sprzedaż/Doradca klienta, sprzedawca/Doradca klienta, sprzedawca - Mazowieckie/Doradca klienta, sprzedawca - Warszawa/Doradca klienta, sprzedawca - Ochota",http://mediamarkt.olx.pl,System wynagrodzeń: Podstawa + prowizja/Doświadczenie nie jest wymagane/Praca zmianowa/Praca w weekendy/Elastyczny czas pracy," Czym będziesz się zajmować? Dbaniem o pozytywne doświadczenia klientów odwiedzających MediaMarkt Sprzedażą pełnej gamy produktów dostępnych w markecie  Doradzaniem klientom najlepszych rozwiązań w zakresie technologii i usług Dbaniem o ekspozycję produktów zgodnie ze standardem MediaMarkt  Jakie mamy wymagania?Jesteś otwarty i zaangażowany? Nie musisz mieć doświadczenia - wystarczy, że szybko się uczysz, interesują Cię nowe technologie i lubisz kontakt z ludźmi.  O nasJesteśmy liderem rynku sprzedaży elektroniki w Polsce. Znasz nas doskonale, przez ostatnie 20 lat wyznaczaliśmy kierunek rozwoju branży i robimy to nadal. Dla Klientów jesteśmy przewodnikami po świecie technologii. Klient jest w centrum naszych działań, a jego satysfakcja to nasz wspólny cel. ",,,,,"Warszawa, Ochota",Pełny etat,Umowa o pracę,5877436154696259734
Dodane Dzisiaj o 13:20,ID: 528017691,Avon dodatkowa praca - konsultantka - darmowe założenie konta,Strona główna/Praca/Pozostałe oferty pracy/Pozostałe oferty pracy - Wielkopolskie/Pozostałe oferty pracy - Ostrów Wielkopolski,/oferty/uzytkownik/1jUrj/,Doświadczenie nie jest wymagane/Elastyczny czas pracy/Praca zdalna dozwolona,"Zapraszam do współpracy z Avon. Założenie konta w kilka minut bez żadnej opłaty wpisowej.Jeżeli chcesz dorobić do domowego budżetu i przy okazji odebrać prezenty w postaci kosmetyków oraz smartwatcha Kiah (czarny lub różowy), to jesteś na właściwej stronie.Aby dokonać rejestracji, kliknij w link aktywacyjny na dole ogłoszenia ""Aplikuj teraz""i wypełnij formularz.W ciągu kilku minut otrzymasz sms z hasłem oraz e-mailz przypisanym numerem personalnym.Dodatkowe informacje na fb na stronie: Avon Konsultantka OstrówAvon oferuje Ambasadorkom/Konsultantkom:-program na start z super nagrodami przez pierwsze 3 katalogi-rabaty od 15% do 50%brak umowy terminowej, można zrezygnować w każdej chwili-darmowe szkolenia on-line-oferty DEMO i Netto-Bestsellery kosmetyczne w promocyjnych cenach-Specjalne benefity-Klub Róży, dla najlepszych Ambasadorek/Konsultantek-możliwość awansu i rozwoju poprzez prowadzenie własnego biznesu, tworząc grupę co daje dodatkowy dochód i prezenty-darmowa dostawa na InPost-możliwość zwrotu produktów do 90 dni w ramach gwarancji-stała pomoc na każdym etapie współpracyPo rejestracji wysyłam katalogi, próbki, materiały informacyjne oraz oferuję swoją pomoc.W każdej chwili możesz do mnie zadzwonić aby otrzymać odpowiedź na nurtujące Ciebie pytanie oraz uzyskać dodatkowe informacje pod nr tel. 60*****09.Zapraszam do mojego zespołu, który tworzę od 20 lat. Ucieszy mnie fakt, jeżeli zarejestrujesz się na mojej stronie.Izabela MalupaMenedżer Sprzedaży Avon",100,2000,zł, mies. brutto,Ostrów Wielkopolski,Dodatkowa / sezonowa,Inny,3213679361040868643
Dodane Dzisiaj o 11:46,ID: 662349720,Salon Élite praca dla fryzjera,"Strona główna/Praca/Fryzjerstwo, kosmetyka/Fryzjer, barber/Fryzjer, barber - Dolnośląskie/Fryzjer, barber - Wrocław/Fryzjer, barber - Stare Miasto",/oferty/uzytkownik/n0Ph/,Odpowiednie doświadczenie zawodowe/Praca zmianowa/Elastyczny czas pracy,"Zatrudnię fryzjerkę, fryzjera do współpracy w salonie fryzjerskim ELITE  we Wrocławiu.
Rozpocznij pracę w salonie ELITE już dziś! 

Oferujemy:
•	Pracę w cenionym i prestiżowym salonie fryzjerskim
•	Miłą i przyjazną atmosferę w pracy
•	Liczne szkolenia fryzjerskie i produktowe
•	Doskonalenie warsztatu fryzjerskiego z najnowszych trendów koloryzacji i stylizacji włosów
•     Umowę o pracę 
•     Dobre zarobki 

Wymagamy:
•	Umiejętności pracy w zespole
•	Doświadczenia pracy jako fryzjer
•     Doświadczenia w koloryzacji i strzyżeniu (również męskim)
•	Dobrego podejścia do Klienta
•.    Dbałości o swoje stanowisko pracy
•	Chęci rozwoju w zawodzie 
•	Kreatywnego podejścia do swojej pracy

Nie interesują mnie propozycje osób pracujących równocześnie w innych salonach.

Odwiedź nas na fb lub ig.

*Ogłoszenie to nie stanowi oferty pracy, lecz jest wstępem do dalszej rozmowy.",3000,7000,zł, mies. brutto,"Wrocław, Stare Miasto",Pełny etat,Umowa o pracę,-5434765942396314862
Dodane 18 maja 2023,ID: 647106796,Pomocnik w sklepie rowerowym - sezonowa - Warszawa,"Strona główna/Praca/Sprzedaż/Doradca klienta, sprzedawca/Doradca klienta, sprzedawca - Mazowieckie/Doradca klienta, sprzedawca - Warszawa/Doradca klienta, sprzedawca - Śródmieście",/oferty/uzytkownik/VLEp/,Odpowiednie doświadczenie zawodowe,"Obecnie poszukujemy na stanowisko pomocnika w sklepie rowerowym.Od kandydata oczekujemy:min. wykształcenie średnie,mile widziane doświadczenie w sprzedaży art. sportowych (odzież, obuwie, rowery, narty),min. rocznego doświadczenia na podobnym stanowisku,mile widziany ""status studenta"",elastyczności wobec wykonywanych zadań - specyfika stanowiska wymaga wsparcia pracy zespołu lokalizacji w różnych aspektach w zależności od potrzeby chwili.Oferujemy:prace w dogodnej komunikacyjnie części Warszawy,pozytywną atmosferę pracy,możliwość nauki i rozszerzenia współpracy ""na stałe"" (ponad 50% osób z tego stanowiska zostaje z nami ""na stałe""),zatrudnienie na podstawie B2B lub umowa zlecenie.Prosimy o zawarcie klauzuli o zgodzie na przetwarzanie danych osobowych.Zastrzegamy sobie możliwość odpowiedzi na wybrane oferty.",22.82,"26,21",zł, godz. brutto,"Warszawa, Śródmieście",Pełny etat,Umowa zlecenie,-4541762650570434945
Dodane Dzisiaj o 11:45,ID: 837017209,osoba do przygotowywania śniadań w Aparthotelu,Strona główna/Praca/Gastronomia/Kucharz/Kucharz - Małopolskie/Kucharz - Kraków/Kucharz - Grzegórzki,/oferty/uzytkownik/k3XU9/,Odpowiednie doświadczenie zawodowe,"Aparthotel centrum miasta zatrudni osobę do przygotowywania śniadań.Nasza Restauracja serwuje śniadania bufetowe dla Gości hotelu oraz pozostałych Gości w godzinach 7:00 - 12:00.Praca w godzinach 6:00 - 14:00.Oczekujemy:doświadczenia w pracy w gastronomii na stanowisku kucharz lub pomoc kuchenna,dyspozycyjności (praca również w weekendy i święta)dobrej organizacji pracy.Do zadań osoby na tym stanowisku będzie należało:przygotowywanie śniadań bufetowych,uzupełnianie bufetu i dbanie o estetyczny wygląd serwowanych dań,pieczenie ciast,kontrola stanów magazynowych i sporządzanie zamówień,dbanie o porządek w miejscu pracy.Oferujemy:pracę w godzinach porannych, zazwyczaj 6:00 - 14:00umowę o pracę lub umowę zleceniaelastyczny grafikkameralną atmosferęZainteresowanych prosimy o przesłanie CV poprzez formularz.Prosimy o załączenie klauzuli o przetwarzaniu danych osobowych.Skontaktujemy się z wybranymi kandydatami.",,,,,"Kraków, Grzegórzki",Pełny etat,Umowa o pracę,-7325635793880214626
Dodane 17 maja 2023,ID: 614317215,Asystentka Stomatologiczna - Idental Clinique,Strona główna/Praca/Zdrowie/Pozostałe w Zdrowie/Pozostałe w Zdrowie - Dolnośląskie/Pozostałe w Zdrowie - Wrocław/Pozostałe w Zdrowie - Stare Miasto,/oferty/uzytkownik/1fIFB/,Odpowiednie doświadczenie zawodowe/Praca zmianowa,"Klinika Stomatologiczna IDENTAL CLINIQUE zatrudni energiczną osobę, na stanowisko - ASYSTENTKI STOMATOLOGICZNEJ, na pół etatu lub na pełen etat na podstawie umowy o pracę. Poszukujemy osoby dyspozycyjnej, komunikatywnej i kreatywnej, która odnajdzie się w pracy z młodym i dynamicznie rozwijającym się zespołem. Gwarantujemy wsparcie i odpowiednie wdrożenie w nowym miejscu pracy, możliwości rozwoju i nauki przy wykonywaniu różnorodnych zabiegów (endodontycznych, implantologicznych) nowoczesnym sprzętem, oraz atrakcyjne wynagrodzenie. Zapewniamy stałe zatrudnienie i prace w miłej atmosferze. Mile widziane doświadczenie na podobnym stanowisku. Zainteresowane osoby prosimy o przesyłanie CV ze zdjęciem na adres: kamaleszczynska[małpa]gmail.com. Prosimy o dopisanie w dokumentach następującej klauzuli: „Wyrażam zgodę na przetwarzanie moich danych osobowych przez firmę Idental Clinique sp. z o.o. sp. k. z siedzibą we Wrocławiu, przy ul. Ślężnej 112/U4 53-111 Wrocław, dla potrzeb niezbędnych do realizacji procesu rekrutacyjnego, zgodnie z przepisami ustawy z dn. 29.08.1997 o ochronie danych osobowych (Dz. U. z 2002 r. Nr 101, poz. 926 z późn. zm.) Przyjmuję do wiadomości, że przysługuje mi prawo wglądu do treści moich danych oraz ich poprawiania.”",,,,,"Wrocław, Stare Miasto",Pełny etat,Umowa o pracę,365552746161810004
Dodane Dzisiaj o 13:32,ID: 739200652,Mechanik Utrzymania Ruchu,"Strona główna/Praca/Produkcja/Praca inżynieryjna, techniczna/Praca inżynieryjna, techniczna - Śląskie/Praca inżynieryjna, techniczna - Katowice/Praca inżynieryjna, techniczna - Bogucice",/oferty/uzytkownik/bMA0W/,Odpowiednie doświadczenie zawodowe/Praca zmianowa/🇺🇦 Польська мова не обов'язкова (Jęz. polski niewymagany),"Każdy fan motoryzacji zapytany o najlepsze systemy hamulcowe bez chwili zastanowienia odpowiada: Brembo!Teraz możesz stać się częścią naszej firmy, niekwestionowanej legendy motoryzacji. Działamy w branży automotive od 60 lat zajmując pozycję światowego lidera, który wyznacza kierunek rozwoju technologii bezpiecznego hamowania.W związku z rozwojem zakładu w Dąbrowie Górniczej systematycznie rozbudowujemy zespół utrzymania ruchu. Aplikuj:Mechanik Utrzymania RuchuJako członek operacyjnego zespołu utrzymania ruchu podejmiesz się misji opieki nad parkiem maszynowym Brembo.Twoje zadania:• wykonujesz naprawy interwencyjne i prewencyjne• realizujesz okresowe przeglądy• serwisujesz maszyny i urządzenia produkcyjne• współpracujesz z doświadczonymi mechanikami oraz zewnętrznymi firmami serwisowymi• planujesz i zamawiasz części, których potrzebujesz• jesteś jednym z kilku specjalistów mechaników w ramach brygadyWiedza i doświadczenie, które wykorzystasz na stanowisku: • Wykształcenie średnie techniczne, np. mechanik / elektryk• Doświadczenie na stanowisku związanym z naprawą/serwisem• Podstawowa umiejętność czytania dokumentacji technicznej, rysunków technicznych i schematów hydraulicznych Docenimy także: • Zainteresowanie tematami mechaniki, hydrauliki lub pneumatyki• Uprawnienia SEP, spawalnicze lub gotowość do nauki• Uprawnienia do obsługi wózków widłowych lub gotowość do naukiKiedy Ty będziesz dbać o nasz park maszynowy, my zadbamy o Ciebie… Motywacyjny system wynagrodzeń: • pensja stała zależna od umiejętności i doświadczenia• premie miesięczne• coroczny system podwyżek• premie roczne• system nagród KAIZEN Stabilne zatrudnienie: • bezpośrednie zatrudnienie na podstawie umowy o pracę na pełny etat bez okresu próbnego• program wdrożeniowy realizowany przez Trenera Wewnętrznego• możliwość korzystania z kasy zapomogowo-pożyczkowej• darmowy przewóz pracowniczy (z kierunków: Katowice, Tychy, Sosnowiec, Olkusz, Sławniów, Zawiercie, Jaworzno, Częstochowa, Lelów, Myszków, Siemianowice Śląskie, Czeladź, Będzin) Dodatkowe benefity: • karty Multisport dla pracownika oraz członków rodziny• dofinansowanie do kolonii dla dzieci• sekcje sportowe• bony żywnościowe, bony i paczki świąteczne• ubezpieczenie grupowe• prywatna opieka medyczna za 1 zł• wczasy pod gruszą• program poleceń pracowniczych",4000,6000,zł, mies. brutto,"Katowice, Bogucice",Pełny etat,Umowa o pracę,8984411887289405690
Dodane Dzisiaj o 13:44,ID: 785078412,Asystent Menadżera/ Doradca Klienta,"Strona główna/Praca/Sprzedaż/Doradca klienta, sprzedawca/Doradca klienta, sprzedawca - Dolnośląskie/Doradca klienta, sprzedawca - Wrocław/Doradca klienta, sprzedawca - Śródmieście",/oferty/uzytkownik/1rFj7X/,Doświadczenie nie jest wymagane,"Jeśli chcesz zyskać wiedzę i umiejętności na najwyższym poziomie, szansę rozwoju oraz podnieść swój standard życia o kilka poziomów - zapraszamy do współpracy!Opis stanowiska:• Sprzedaż i promocja produktów i usług• Rozwój lokalnego rynku• Aktywne nawiązywanie i utrzymywanie relacji handlowych z partnerami biznesowymi• Komplementacja niezbędnej dokumentacji• Bieżące raportowanie i administracja wykonywanej pracyWymagania:• Dobra organizacja czasu pracy• Wysoka kultura osobista• Komunikatywność• Przedsiębiorczość, zaangażowanie, nastawienie na realizację celów,Oferujemy:• Bardzo atrakcyjne warunki oparte o wysoką prowizję,• Stabilność zarobków,• Wynagrodzenie na poziomie 5 000 zł - 10 000 zł netto miesięcznie i więcej (Wysokość wynagrodzenia bez górnego limitu…)• Szkolenia sprzedażowe, produktowe, komunikacyjne na najwyższym poziomie,• Możliwość szybkiego awansu, a w przyszłości szansa otwarcia własnego biuraJeżeli jesteś gotowy wyznaczać z nami nowe standardy, poszerzać swoje kompetencje oraz osiągać satysfakcjonujące zarobki - nie zwlekaj, aplikuj!Prosimy o załączenie w swojej aplikacji klauzuli o przetwarzaniu danych osobowych:Wyrażam zgodę na przetwarzanie moich danych osobowych dla potrzeb niezbędnych do realizacji procesu rekrutacji (zgodnie z ustawą z dnia 10 maja 2018 roku o ochronie danych osobowych (Dz. Ustaw z 2018, poz. 1000) oraz zgodnie z Rozporządzeniem Parlamentu Europejskiego i Rady (UE) 2016/679 z dnia 27 kwietnia 2016 r. w sprawie ochrony osób fizycznych w związku z przetwarzaniem danych osobowych i w sprawie swobodnego przepływu takich danych oraz uchylenia dyrektywy 95/46/WE (RODO).",5000,10000,zł, mies. brutto,"Wrocław, Śródmieście",Pełny etat,Umowa zlecenie,3502939277270077032
Dodane Dzisiaj o 13:28,ID: 837037763,WYPŁATY CO TYDZIEŃ odpisywanie na wiadomości (dodatkowa) od 950zł/tyg,Strona główna/Praca/Marketing i PR/Media i PR/Media i PR - Kujawsko-pomorskie/Media i PR - Bydgoszcz,/oferty/uzytkownik/l04iw/,Doświadczenie nie jest wymagane/Elastyczny czas pracy/Rekrutacja online/Praca zdalna dozwolona,"Masz dość swojej rutynowej pracy lub potrzebujesz pieniędzy na studiach? Jeśli to czytasz to znak, że BARDZO DOBRZE ZNALAZŁEŚ!!!Dzięki szybko rozwijającemu się zespołowi, szukamy osób do DŁUŻSZEJ lub KRÓTSZEJ współpracy. Bez różnicy, czy jesteś studentem, czy osobą z dłuższym stażem na etacie to i tak znajdziesz tutaj swoje miejsce. Chyba każdy chce się wyzwolić od inflacji, dlatego:Oferujemy:-Wynagrodzenie które jest wypłacane 4 RAZY W MIESIĄCU (tygodniówki) na Twój rachunek bankowy.-Kwota zależną od czasu, który poświęcisz-Nie potrzebujesz żadnego doświadczenia, ani wiedzy informatycznej. Wystarczą znajomości podstaw komputera lub telefonu. Praca jest prosta, wystarczy urządzenie z dostępem do Internetu. Uczymy wszystkiego od zera.-Elastyczne godziny pracy-Wysokie stawki prowizyjne i cotygodniowe wypłaty na rachunek bankowy-Pracę zdalną, którą możesz wykonywać z każdego miejsca na ziemi-Szkolenia ONLINE, QUIZY, które organizujemy co kilka dni aby doszkolić wiedzę-Praca w świetnym i energicznym zespoleWymagamy:-Pełnoletność, obywatelstwo Polskie i miejsce zamieszkania-Chęć działania z gotowymi instrukcjami i obsługiwanie prostych klientów-Umiejętność pracy grupowej-Obsługa komputera/telefonu na poziomie podstawowym oraz dostęp do Internetu-Facebook oraz MessengerW trakcie pierwszych szkoleń możesz już na wstępie zarobić kilka-set złotych (Natomiast nam zależy na stałej współpracy i dalszym budowaniu firmy, która jest na rynku wiele lat). Jeśli ogłoszenie jest wciąż widoczne, oznacza ,żeJEST AKTUALNE, napisz do nas!PRACA OD ZARAZ",3500,7000,zł, mies. brutto,Bydgoszcz,Dodatkowa / sezonowa,Inny,5133676243208448184
Dodane Dzisiaj o 13:28,ID: 836582391,Elektryk/pomocnik,Strona główna/Praca/Budowa / remonty/Budowa / remonty - Mazowieckie/Budowa / remonty - Warszawa/Budowa / remonty - Śródmieście,/oferty/uzytkownik/1lAMVI/,Odpowiednie doświadczenie zawodowe,"esteśmy dynamicznie rozwijającą się firmą zajmującą się projektowaniem, wykonawstwem, serwisem i konserwacją instalacji elektrycznych i teletechnicznych. Specjalizujemy się w wykonywaniu systemów bezpieczeństwa obiektowego (min. PPOŻ), teletechnicznych i instalacji inteligentnego sterowania budynkiem. W ramach naszej działalności wykonujemy również instalacje fotowoltaiczne. Aktualnie poszukujemy elektromonterów i pomocników z doświadczeniem w wykonywaniu instalacji elektrycznych i teletechniczych.Więcej informacji pod nr telefonu 73*******65",,,,,"Warszawa, Śródmieście",Pełny etat,Umowa o pracę,6209849998436385925
Dodane Dzisiaj o 11:04,ID: 833753223,Praca w KFC Galeria Krakowska Kiosk poziom -1  - pracownik restauracji,Strona główna/Praca/Gastronomia/Pozostałe/Pozostałe - Małopolskie/Pozostałe - Kraków/Pozostałe - Stare Miasto,/oferty/uzytkownik/42brb/,Doświadczenie nie jest wymagane/Praca zmianowa/Praca w weekendy/Elastyczny czas pracy,"AmRest to firma prowadząca najsłynniejsze sieci gastronomiczne na całym świecie, która w swoim portfolio ma takie marki jak: KFC, Pizza Hut, Burger King czy Starbucks. Zatrudniamy ponad 45 000 osób w 25 krajach na całym świecie - tworzymy globalną organizację, która kieruje się wspólnym celem i silnym przekonaniem, że Gościnność to nasz przepis na sukces.Restauracja KFC zatrudni Pracowników Restauracji w pełnym lub niepełnym wymiarze godzinTwój zakres obowiązków	Zapewnianie wysokiego poziomu obsługi klientów poprzez miłą i profesjonalną obsługę	Przygotowanie produktów z kurczaka i dbanie o jego najwyższą jakość	Współpraca z pozostałymi członkami zespołu	Wykonywanie bieżących zadań w restauracji, m.in. dbanie o sprzęty, utrzymywanie porządku na stanowisku pracy	Wsparcie restauracji w realizacji wyznaczonych celów.	Dbanie o pozytywny wizerunek restauracji KFCNasze wymagania 	Otwartość i komunikatywność	Pozytywna energia i pomysłowość	Dokładność, odpowiedzialność, zaangażowanie	Wyznaczanie ambitnych celów	Umiejętność pracy w zespole	Książeczka sanitarno-epidemiologiczna będzie mile widzianaTo oferujemy 	Grafik dostosowany do indywidualnych potrzeb	Jasne zasady współpracy: umowa zlecenie (dla uczniów/studentów), umowa o pracę* ( dla osób nie uczących się) 	Profesjonalne szkolenie: nie wymagamy doświadczenia – wszystkiego Cię nauczymy!	Rozwój zawodowy: u nas możesz zostać kierownikiem i zdobyć cenne doświadczenie!	Atrakcyjny pakiet benefitów oraz nagrody i premie za dobre wyniki pracy m.in. pakiet medyczny, kartę OK System, ubezpieczenie	Możliwość skorzystania z posiłku pracowniczego 	Wynagrodzenie + premie za osiągane wyniki zawsze na czas 	Wyjątkowe produkty KFC, Pizza Hut, Burger King, Starbucks w super cenach Benefity	Prywatna opieka medyczna	Elastyczny czas pracy	Pakiet ubezpieczeń grupowych	Karta Medicover Sport (dawniej Karta OK System)	Zniżka na produkty firmy AmRest	Premia za polecenie przyjaciela do pracyTo już dzisiaj dołącz do EKIPY KFC! Oferta skierowana również do osób z orzeczeniem o niepełnosprawności.*pracownik otrzymuje umowę o pracę po 3 miesięcznym okresie próbnym",23,25,zł, godz. brutto,"Kraków, Stare Miasto",Niepełny etat,Umowa zlecenie,-4826080694577642503
Dodane 15 maja 2023,ID: 739562574,Deserant | Kucharz Pijalnia Czekolady E.Wedel ul. Szeroka 40,"Strona główna/Praca/Gastronomia/Cukiernik, piekarz/Cukiernik, piekarz - Kujawsko-pomorskie/Cukiernik, piekarz - Toruń",/oferty/uzytkownik/4Tn1O/,Doświadczenie nie jest wymagane/Praca zmianowa/Praca w weekendy/Elastyczny czas pracy,"Pijalnie Czekolady E.Wedel to  sieć kawiarni zlokalizowana w całej Polsce.Do naszego lokalu szukamy Deserantów i Deserantek, czyli osób, które będą przygotowywały desery oraz dania dla naszych Gości.Przygotowaliśmy dla Ciebie:Elastyczny czas pracy i stabilność zatrudnienia.Pełne szkolenie i przygotowanie do pracy z wedlowskimi recepturami.Perspektywy rozwoju oraz rabat pracowniczy 15%.Będziesz odpowiedzialny/a za:Przygotowywanie deserów i dań zgodnie z recepturą.Przygotowanie do otwarcia i/lub zamknięcia.Utrzymanie czystości.Przyjmowanie i sprawdzanie świeżości i jakości dostaw.Warunki:Badania do pracy z żywnością (orzeczenie do celów sanitarno epidemiologicznych).Dyspozycyjność minimum 120h/miesiąc w tym weekendy.Zaangażowanie w pracę . Informujemy, że skontaktujemy się z wybranymi kandydatami.Wysyłając CV wyrażasz zgodę na przetwarzanie moich danych osobowych i innych danych zawartych w Twojej aplikacji (CV, list motywacyjny, referencje) na potrzeby obecnego procesu rekrutacyjnego na stanowisko, na które aplikujesz, prowadzonego przez Pijalnie Czekolady spółka z ograniczoną odpowiedzialnością z siedzibą w Krakowie zgodnie z postanowieniami rozporządzenia Parlamentu Europejskiego i Rady (UE) 2016/679 z dnia 27 kwietnia 2016 r. w sprawie ochrony osób fizycznych w związku z przetwarzaniem danych osobowych i w sprawie swobodnego przepływu takich danych oraz uchylenia dyrektywy 95/46/WE („RODO”) oraz ustawy o ochronie danych osobowych z 10 maja 2018 r. Podstawowe informacje dotyczące przetwarzania danych osobowych znajdziesz na naszej stronie internetowej ",,,,,Toruń,Niepełny etat,Umowa zlecenie,-5112720864233252785
Dodane Dzisiaj o 11:12,ID: 836546333,Operator maszyn do produkcji śrub,Strona główna/Praca/Produkcja/Obsługa produkcji/Obsługa produkcji - Śląskie/Obsługa produkcji - Bielsko-Biała,/oferty/uzytkownik/1CQRKu/,Doświadczenie nie jest wymagane/Praca zmianowa,"BULTEN POLSKA ma szwedzkiego właściciela Fasteners AB, wspólnie z zagranicznymi oddziałami tworzy międzynarodowy koncern inżynieryjny. Grupa zajmuje się rozwojem i produkcją specyficznych dla klienta komponentów i systemów opartych na materiałach z metalu. Bulten jest jednym z największych europejskich dostawców elementów złącznych dla międzynarodowego przemysłu motoryzacyjnego.JEŚLI ZDECYDUJESZ SIĘ NA ZMIANĘ PRACODAWCY, ZAGWARANTUJEMY CI PEWNOŚĆ ZATRUDNIENIA I PRZYGOTUJEMY DLA CIEBIE UMOWĘ PRZEDWSTĘPNĄPRACA W ZAKŁADZIE W BIELSKU BIAŁEJZakres obowiązków:obsługa maszyn do produkcji śrub.Wymagania:wykształcenie zawodowe lub średnie,posługiwanie się podstawowymi przyrządami pomiarowymi (nauka w trakcie szkolenia),umiejętność czytania rysunku technicznego i porównanie ze zleceniem produkcyjnym (nauka w trakcie szkolenia),podstawowa znajomość obsługi komputera,chęć do szkolenia,praca w systemie 3-zmian.Oferujemy:stabilną pracę w międzynarodowej firmie,umowę o pracę,bogaty pakiet socjalny : wczasy pod gruszą, dodatkowe ubezpieczenie emerytalne (PPE) płatne przez pracodawcę, dofinansowanie do ubezpieczenia medycznego i karty multisport, dopłata do biletów zwiazanych z dojazdem do pracy, grupowe ubezpieczenie, posiłek w zakładowej stołówce płatny przez pracodawcę,szkolenia na koszt pracodawcy,możliwość rozwoju zawodowego,przyjazną atmosferę w pracy,wynagrodzenie brutto od 5.500,00/PLN miesięczne na czas szkolenia, po szkoleniu zmiana płacy.",5500,6000,zł, mies. brutto,Bielsko-Biała,Pełny etat,Umowa o pracę,-1012875538482268290
